note_id,active,name
7CE16D291E404400BBD3B2CDDAEA8EBF,TRUE,citrus blossom
7E5E0CCBC6B54E2B9F7B46FC5D8799B9,TRUE,citrus leaf
E4E6B21587AC42F69E56B2FD2057E84B,TRUE,citrus leaves
05570F9B6F594523AEC09C8AD0CA8475,TRUE,citruses
4822EABD505546C6A79551E326D779B0,TRUE,civet
142BEBB966274BD9AB4CB958FB56C3BA,TRUE,civetta
E8ABCF66C1A8449BBF873211186A68B8,TRUE,clary sage
E77DB76428B942D9AF5D8FD49C9C02C1,TRUE,clay
82B7635B2E614816BE384EBFBE7237F2,TRUE,clear wood
1AF46A12EED044F5922B61162241BF17,TRUE,clementine
22770755FAEE4EDD84E5D001174EB578,TRUE,cloudberry
EEEAF850945B44A09BCC65062C4C7ABE,TRUE,clove
13715DEB4C074EEC9CE417D0114FF059,TRUE,clove leaf
8B718E759BB244A692D05003AAF8EC5B,TRUE,clover
71BEBBE823F34A5BB00D9F8DE181DBD4,TRUE,cloves
7A6B9DC6CDFA4321910EFBC1E9A4A906,TRUE,coconut
9B0A1AF564084433A7E53FCCB16D977C,TRUE,coconut milk
1AB311EED8014890820D88CD8220AA62,TRUE,coconut nectar
945AD71101894D5D892C951BDF56C360,TRUE,coffee
57B413E6D6C34CBAAC7D3A609D4EF761,TRUE,coffee blossom
1E75D7E44D3C4180A52734D9F91F4322,TRUE,cognac
2C4943291D6547A4BE7D1487A878A38C,TRUE,coton candy
6817E51617854DAFAB089822CE8F4A87,TRUE,cotton candy
E37ECBA6DF5C4F4BBCD7B143120EEB8E,TRUE,cotton flower
B4DAF6F5BD9549D493ABFCE7FFF6FA55,TRUE,cottonwood
C5DA87C60C014272B51C2FD2C23917A2,TRUE,coumarin
DBA8A2A86F9849CD8E6BEB6C2EC2A278,TRUE,cranberry
6EC7C8FC1662470CB340421BE9A346E6,TRUE,creme brulee
0A4FDAD09EF244BE8274F7702EA1A1EB,TRUE,crinum lily
2068D8DB309A4C58BB379BC99914823F,TRUE,cucumber
F9F27E3C2A0F4082911680D2D56E8E92,TRUE,cumin
069F5AD566954E1792070D7889DB8BE8,TRUE,curry tree
