color_code,red,green,blue,name,family,cellular,roller,panel_track,sheer,drapery,valance_cornice,soft_roman,insulating_blinds,filename,composite_filename
637,220,202,169,VELLUM,Tan,1,1,1,1,1,1,1,1,,
638,192,168,125,SANDY VALLEY,Brown,1,1,1,0,1,1,1,1,,
639,180,155,113,BARLEY HARVEST,Brown,1,1,1,0,1,1,1,1,,
640,227,215,193,MORNING GLOW,Beige,1,1,1,1,1,1,1,1,,
641,208,192,161,CRESTWOOD TAN,Tan,1,1,1,1,1,1,1,1,,
642,178,154,114,LIGHT CARAMEL,Brown,1,1,1,0,1,1,1,1,,
643,191,176,151,PALM DESERT,Tan,1,1,1,1,1,1,1,1,,
644,178,159,130,RODEO TAN,Brown,1,1,1,1,1,1,1,1,,
645,144,121,89,WEATHERED OAK,Brown,1,1,1,0,1,1,1,1,,
646,125,109,87,WOODCRAFT,Brown,1,1,1,0,1,1,1,1,,
647,186,169,143,SADDLE TAN,Tan,1,1,1,1,1,1,1,1,,
648,174,151,121,GINGERSNAP,Brown,1,1,1,0,1,1,1,1,,
649,153,128,103,TIMBERWOOD,Brown,1,1,1,0,1,1,1,1,,
650,145,121,102,HIDDEN VALLEY,Brown,1,1,1,0,1,1,1,1,,
651,225,211,191,MELON ICE,"Orange,Peach",1,1,1,1,1,1,1,1,,
652,215,195,171,TOFFEE CREAM,"Orange,Peach",1,1,1,1,1,1,1,1,,
653,175,148,112,MAPLE SYRUP,Brown,1,1,1,0,1,1,1,1,,
654,222,212,192,VERONA BEACH,Beige,1,1,1,1,1,1,1,1,,
655,215,202,179,POINT BEACH,Tan,1,1,1,1,1,1,1,1,,
656,190,159,116,PUMPKIN SPICE,"Orange,Peach",1,1,1,0,1,1,1,1,,
657,229,220,204,CANDLE LIGHT,Off White,1,1,1,1,1,1,1,1,,
658,223,210,194,CONCH SHELL,Beige,1,1,1,1,1,1,1,1,,
659,195,171,146,STARFISH,Brown,1,1,1,0,1,1,1,1,,
660,186,156,129,MOUNTAIN TRAIL,"Orange,Peach",1,1,1,0,1,1,1,1,,
