state,name,address
Bihar,Hari Om Enterprises,"Baidarabad Bazar,Arwal"
Bihar,Hindustan Machinery & Pipe,"Near Mahzid, Kurtha,,Kurthabich Bazar,"
Bihar,Anil Sanitary & Paints,"Hotel Amit,Mg.Road,"
Bihar,Hms Multi Paper Industries,"Ward N. 06,,Near Madrasa Islamiya, Daud Nagar,Aurangabad"
Bihar,Jaya Enterprises,"Sinha Collage More,Ramdiha,"
Bihar,Maa Traders,Shivajee Chowkbanka
Bihar,Maa Traders,Shivajee Chowkbanka
Bihar,Rupesh Motor Sale & Servicing Cente,"Shiv Ashish Market,Near Hp Gas Office, Banka,"
Bihar,Hindustan Electric House,"Phulwaria Bazaar,Phulwaria Bazar,"
Bihar,S Jay Radio,"Ans College,Station Road, Barh,,"
Bihar,S Jay Radio,"Near Ans College ,Barh"
Bihar,S Jay Radio,"Near Ans College ,Barh"
Bihar,Amit Pipe Centre,"Mungeriganj Begusarai,Near Sanskar Vatika,,Mungeriganj"
Bihar,Goldi Electrical,"Near Alka Cinema Hall,Aa,Nh-31,"
Bihar,Hindustan Commercial Agency,"New Market,Begusarai,"
Bihar,Jyoti  Sales,"Behind Gaytri Mandir,Sarvodaya Nagar, Ward N.40,"
Bihar,Goyal Automobiles & Tractors,"Collegiate School Road,Jagir Mohalla, Begusrai,"
Bihar,Adarsh Vision,"Benipur,Benipur,"
Bihar,Adarsh Vision,Benipurbenipur
Bihar,Adarsh Vision,Benipurbenipur
Bihar,Maruti Sales Corporation,"Raj Compound,Children Park,Betiah"
Bihar,Champaran Battery,"Near Krishna  Petrol Pump,Bazar Samiti Rd,Motihari Rd,Bettiah"
Bihar,Ruby Enterprises,"Kamalnath Nagar Christian Quarter ,Christian Quarter,"
Bihar,Shree Ram Bhandar,"Lal Bazar,Bettiah,"
Bihar,Shri Balajee Electricals,"Hazarimal Dharamsala,Lal Bazar,"
Bihar,Aditya Traders,"Kachahari Road, Ward N13.,Bhabua,"
Bihar,Agarwal Tubewell Co,"Burhanath Road,Burhanath Road, Near Kamla Mandir,"
Bihar,Auto Tractor & Machinery,"Kotwali Bhagalpur,Kotwali Chowk,,"
Bihar,Jayanti Electricals,"Shop N.-5, Ugf,Sri Ganpati Plaza,Khalifabagh"
Bihar,Kanvi Agency,"Ward N:- 38,,Ray Bahadur Devi Prasad,Dhandhania Lane"
Bihar,Satyam Enterprises,"Gurudwara Road,Bhagalpur,"
Bihar,Jayanti Electricals,"Shop N.-5, Ugf,Sri Ganpati Plaza,Khalifabagh"
Bihar,Kanvi Agency,"Ward N:- 38,,Ray Bahadur Devi Prasad,Dhandhania Lane"
Bihar,Satyam Enterprises,"Gurudwara Road,Bhagalpur,"
Bihar,Light Centre,"D.N.Singh Road,,Bhagalpur,"
Bihar,Janta Pipe Fitting & Sanitary,"Braham Ashthan Chowk,W-13,Main Road, Sheohar,"
Bihar,General Hardware Stores,"Ranchi Road,,Bihar Sharif.,"
Bihar,Rajdhani Electricals,"Sohsarai,Nalanda,"
Bihar,Mehta Bijli Ghar,"Ramrekha Ghat,Old Bus Stand Market,"
Bihar,Krishi Auzar Bhandar,"Gaushala Market,Station Road,"
Bihar,B.V. Communication,"Nagarpalika Chowk Chapra ,Chapra,"
Bihar,Deepak Electric,"Near Indralok Hotel,Lahbazar,Salempur"
Bihar,Maa Traders,"Joginiya Kothi Road,Chapra,"
Bihar,Sai Electric & Parts,"Dumduma Dhala Road,Daudpur,"
Bihar,Sonu Electric,"Salempur,,Harimohan Gali,Chapra, Bihar"
Bihar,Ayush Pumps,"Opp - Hotel A P Palace,Poonam Cinema Road,"
Bihar,Bharat Machinery Tools,"Station Road,Mirjapur,Station Road,Mirjapur,"
Bihar,Light House,"Near Dilawarpur Petrol Pump,Sonki Road, Donar,"
Bihar,Narayani Enterprises,"Ward N-10,Mohalla-Gullowara,Post-Lalbagh"
Bihar,Shree Traders,"Lalbagh Darbhanga ,Darbhanga,"
Bihar,Sumit Trading Co,"Near Mirzapur Chowak,C\/O Bharat Machinery Tools,Mirzapur,"
Bihar,Hms Multi Paper Industries,"Hospital Road ,Daudnagar"
Bihar,Hms Multi Paper Industries,"Hospital Road ,Daudnagar"
Bihar,Kumar Hardware,"New G. T. Road,,Dehri-On-Sone,"
Bihar,Hms Multi Paper Industries,"Hospital Road ,Daudnagar"
Bihar,Hms Multi Paper Industries,"Hospital Road ,Daudnagar"
Bihar,Kumar Hardware,"New G. T. Road,,Dehri-On-Sone,"
Bihar,Sanjay Machinery Store,"Station Road,Dumraon,"
Bihar,Siddhi Vinayak,"Mayur Gali, East Champaran (Bihar),Raxaul,"
Bihar,Siddhi Vinayak,"Mayur Gali, East Champaran (Bihar)Raxaul"
Bihar,Siddhi Vinayak,"Mayur Gali, East Champaran (Bihar)Raxaul"
Bihar,Chunilal & Company,"Ward N. 10,S.K. Road, Forbesganj,"
Bihar,Janki Traders,"Post Office Chowk,,Forbesganj,"
Bihar,Kasba Stores,"S.K.Road,,Forbesganj.,"
Bihar,Free India Electric House,"Shaheed Road,Gaya,"
Bihar,Harsh Enterprises,"Near-Bharat Petrol Pump,Shaheed Road,Near-Punjab Store,"
Bihar,Heera Electricals,"7,Dighi Tank,Near Old Lic,"
Bihar,K.L. Gupta & Co Tin N 10200239089,"Swarajyapuri Road,Gaya,Swarajyapuri Road,"
Bihar,Maa Mahamaya Enterprises,"15\/18,Tekari Road,Shanti Market"
Bihar,Maa Mahamaya Enterprises,"Tekari Road ,Gaya"
Bihar,Maa Mahamaya Enterprises,"Tekari Road ,Gaya"
Bihar,Pappu Trading Company,"Near Gol Pathar,G. B Road,"
Bihar,Royal Electricals,"Lal Makan,Moriya Ghat,"
Bihar,Saurav Electrical,"Near Prem Talkies Adarsh Market, Saheed Road ,Adarsh Market, Saheed Road,"
Bihar,Vishnu Enterprises,"Tekari Road,Main Bazar,"
Bihar,Jaiswal Electronics & Crockery,"Braham Asthan,Purani Chowk,,"
Bihar,Jaiswal Electronics & Crockery,"Braham Asthanpurani Chowk,"
Bihar,Vishnu Enterprises,"Tekari Road,Main Bazar,"
Bihar,Jaiswal Electronics & Crockery,"Braham Asthan,Purani Chowk,,"
Bihar,Jaiswal Electronics & Crockery,"Braham Asthanpurani Chowk,"
Bihar,Jaiswal Electronics & Crockery,"Braham Asthanpurani Chowk,"
Bihar,Raju Electric & Electronics,"Ambedkar Chowk,Gopalganj,"
Bihar,Sarsawati Enterprises,"Sareya, Ward N.- 04 Kali Asthan Road, Near Police Line ,Kali Asthan Road, Near Police Line,"
Bihar,Sinhasini Traders,"Chuna Gali, Yadopur Road ,Yadopur Road,"
Bihar,Smart Digital Ventures,"Ram Prasad Chowk, Marai Road Bagdulhan ,Bagdulhan,"
Bihar,Chourasia Electricals Pvt Ltd,"Rajendra Chowk,Gudri Bazar, Hajipur,"
Bihar,Kisan Traders,"Station Road, Hajipur. ,Hajipur.,"
Bihar,Aarohi Enterprises,"At - Pradhanchak, P.O - Pradhanchak,P.S - Kharia,"
Bihar,Shanti Hardware,"Hospital Road,Sikandra, Jamui,"
Bihar,Sinha Sales,"Near- Power Sub-Station,East Side Son, Son,"
Bihar,Mahesh Machinery Stores,"Main Bazar,Jaynagar,"
Bihar,Pawansut Glass Agency,"Gurudwara Road,Jainagar,"
Bihar,Maa Laxmi Electric,"Murlidhar Rest House P.G. Road ,P.G. Road,"
Bihar,Upendra Electric Works,"Shivaji Path,Road,"
Bihar,Upendra Electric Works,"Shiva Jee Path, Jehanabad"
Bihar,Upendra Electric Works,"Shiva Jee Path, Jehanabad"
Bihar,Maa Janki Steel Hardware And Sanita,"Bhagwanpur Road,Infront Of Forest Department,"
Bihar,Green Electric Enterprise,"New Market,Katihar,Bihar"
Bihar,Maa Enterprises,"Navodaya Bazar,Purnia,Girls School Road"
Bihar,Shree Balajee Machinery,"Ward N. 32,Holding N. 142B, Maa Mansa Katra,Bania Tola"
Bihar,Agrawal & Co.,"Khagaria,Vishwanath Ganj,"
Bihar,Green Electric Enterprise,"New Market,Katihar,Bihar"
Bihar,Maa Enterprises,"Navodaya Bazar,Purnia,Girls School Road"
Bihar,Shree Balajee Machinery,"Ward N. 32,Holding N. 142B, Maa Mansa Katra,Bania Tola"
Bihar,Agrawal & Co.,"Khagaria,Vishwanath Ganj,"
Bihar,Rahul Electric,"422, Malgodan Road, Khagaria,Khagaria,"
Bihar,Arihant Sanitation & Marbles,"Near Dr Ml Jain,Dinajpur Road,,"
Bihar,Delhi Electricals,"Main Road Bahadurganj,Vill Panchayat Bahadurganj,"
