UniqueID,Contributor,Premium User,Date,Time,Comment,Child
4930faa3-e3dc-44cc-9cdb-272f091c5531,Duxbellorum,False,2021-09-24,12:03:41.000Z,"Zemmour a sérieusement besoin d'une consultation psy, son obsession de l'islam est pathologique. Quant à Mélenchon ben c'est Mélenchon&nbsp;!",0
610f7189-face-48d9-a06b-46c561992d0e,Gilou,False,2021-09-24,12:27:31.000Z,"Quel bien mauvais résumé de la part de Zemmour, obsédé qu'il est par l'immigration&nbsp;: ""Lui, il veut sauver la planète. Moi, je suis beaucoup plus modeste que lui, je veux uniquement sauver la France""...<br>Mélenchon ne veut pas sauver la planète, il veut juste piquer des voix aux écolos.<br>Une fois élu, Mélenchon serait plus pressé de collectiviser l'économie que de sauver la planète&nbsp;!",0
c2036f22-016b-498c-8d43-8b8fb859dd3d,Codex85,True,2021-09-24,12:26:25.000Z,Madame Fast checking était complètement à la rue. Son 1 milliard de fraude aux prestations sociales versus les 30 milliars annoncés par Charles Prats est une blague. Zemmour à bien fait de la tacler.,0
8012f7ae-6d1c-4e18-941c-d92c81b70233,Senji,True,2021-09-24,12:22:03.000Z,"Un chiffre intéressant a été cité hier par Zemmour, intéressant mais malheureusement pas débattu: parmi les 400 mille nouveaux arrivants tous les ans, seulement 14% viennent pour travailler. Il serait instructif de faire une étude sur les revenus des autres 86%. Vivent-ils tous au crochet de la République?",0
36a186c6-6b2d-4062-9df7-32ad6c5b8867,ca18,True,2021-09-24,12:19:53.000Z,"Petit rappel factuel&nbsp;:<br>Le mot « islam&nbsp;» est la translittération de l'arabe الإسلام, islām, signifiant&nbsp;: « la soumission et la sujétion aux ordres de Dieu&nbsp;».<br>Tout est dit. Cette religion a pour objectif de régir à la fois le spirituel ET le temporel.<br>Il est grand temps de réagir.",0
f5613121-e32e-4ae9-8af7-4ad1d37f405b,Dupont thé,False,2021-09-24,12:18:46.000Z,"Zemmour, c'est simple, c'est l'homme qui aurait aimé vivre sous Napoléon 1er, sans doute comme Maréchal ( nous voilà&nbsp;!) et qui se serait suicidé après Waterloo...Ou finir à Sainte Hélène.",0
59cd6bb6-470b-429b-b55b-c00ea35374f5,Senji,True,2021-09-24,12:18:15.000Z,"Si Zemmour a du succès, c'est parce que les politiques de tout bord ont complètement abandonné les thèmes de nation, d'identité et d'insécurité. Même le RN fait profil bas, pour ne pas se faire qualifier ""d'extrême-droite"". Or ce sont des sujet de société d'une énorme importance, et on doit en parler sans se cacher derrière son petit doigt. Zemmour apporte des arguments au débat, mais se heurte à des dizaines d'années de conditionnement de la classe médiatique.",0
6f5e2084-d06e-4d12-bbf1-f71ac44c7943,Knudsenisback,False,2021-09-24,12:17:53.000Z,"sur quelles bases diplomatiques Zemmour va il persuader Poutine de s'allier a lui? Et ça c'est 1 des centaines de questions sans reponses suite a son intervention, le flou artistique sur les propositions",0
a739903f-85d0-4f1f-900d-05ff28271d7a,ca18,True,2021-09-24,12:17:46.000Z,"« 74 % des Français musulmans de moins de 25 ans affirment mettre l'islam avant la République&nbsp;», selon un sondage Ifop. (Le Figaro - 8 sept. 2020)<br>On ne transige pas avec les lois de la République Française&nbsp;!",0
78795c87-8b4a-40c9-97b6-1111edccfc14,Le Gaga de Sainté,False,2021-09-24,12:16:19.000Z,Confirmation qu’aucun des 2 n’a la stature présidentielle! Et pour Mélenchon l’heure de la retraite est plus que confirmée….,0
10fab83b-4648-4a9c-aff7-82422a0b8cc4,Grava,False,2021-09-24,12:13:27.000Z,Mélenchon a été laminé par Zemmour qui n'avait aucun papier sur le pupitre alors que Mélenchon en avait 5cm d'épaisseur et ne faisait que noter.,0
4028a583-c08e-4669-8d0c-65e9efacb9e9,Berjidet,False,2021-09-24,12:38:59.000Z,Il me semble que el Melenchon a fait un rajeunissement facial avec traitement esthétique de la denture. Surtout il a fait d’énormes progrès pour ne pas montrer un visage haineux&nbsp;!,0
681ec581-c92c-43b8-9279-8813272bd95c,pop003,False,2021-09-24,12:03:27.000Z,"Pour Zemmour ne se déclare t'il pas&nbsp;? il y a une raison: Zemmour prend autour de 10% des voix à Le Pen. De plus, il y aura sûrement un ou plusieurs autres candidats d'extrême droite ou de droite extrême: Poisson, Dupont Aignan, etc. qui prennent également des voix dans le même vivier. Enfin, le LR le plus à droite sera probablement élu aux primaires de la droite, prenant potentiellement des voix dans les parages. Et donc, Le Pen a une peur extrême de ne pas arriver au second tour. Zemmour ne se déclare pas pour faire monter les enchères, il attend un gros chèque pour se retirer, que les Russes, protecteurs de MLP, n'ont toujours pas signé à ce jour.",0
989dde43-a24f-4182-90cb-e2fbb584d800,ca18,True,2021-09-24,12:37:10.000Z,"On attend toujours la dissolution par Darmanin des fédérations qui ont refusé de signer la fameuse Charte de Macron sur l'islam de France, puisqu'on a désormais clairement la preuve qu'elles ont refusé de s'inscrire explicitement dans les lois démocratiques de notre République.<br>Cette Charte inclut en effet (notamment) l'égalité homme/femme, le droit à l'apostasie et la primauté des lois républicaines.",0
75013088-9b31-4b88-875a-a0e23d10ee86,clo,True,2021-09-24,12:35:37.000Z,"Zemmour a été très bon, Melenchon a été bon .",0
c2ce2792-78a2-4318-84eb-c060991bbf05,,False,2021-09-24,12:35:22.000Z,"Il est temps d’arrêter les divisions dans le camp souverainiste et patriote&nbsp;! Une alliance Le Pen, Zemmour, Philippot, Marion Maréchal avec le soutien de Poutine pourrait gagner les élections législatives&nbsp;!",0
3332d7f9-ad25-4523-a44e-fc844715da56,antoine230,True,2021-09-24,12:35:10.000Z,"""Fin du monde"" contre ""Fin de la France"". Les deux ont été solides, avec une avance de Zemmour tout de même. Mais les deux sont assez anxiogènes et leurs propos théoriques. Un peu de positivité et de pragmatisme pour embarquer les français seraient le bienvenu s'ils veulent percer.",0
ffa63f12-62eb-432a-9425-ef16c216bcd5,jj47,False,2021-09-24,12:32:57.000Z,"Zemmour n'a aucune envergure. Il est recroqueville sur lui même, tout comme sa pensée. Il n'a pas l'épaisseur d'un homme politique . Quant au programme, c'est un peu mince, les arabes dehors, pour diriger la France. Et ce genre de politique mene toujours à la catastrophe. Finalement, il incarne un certain déclin intellectuel français, par sa pensée minimaliste, qu'il entend dénoncer .<br>Je suis étonné que des gens avertis de droite, mise sur ce mauvais cheval.",0
19c88fe4-6f71-49d5-8fce-d4ed971c0f06,,False,2021-09-24,12:32:34.000Z,Macron remercie chaleureusement Zemmour et Mélenchon pour cette excellente soirée!,0
1c998b67-b3f9-4722-a0cb-89dcd14f5c34,trollhébus,False,2021-09-24,12:31:00.000Z,Au vu du débat je trouve zemmour clairement anti musulman et anti Africains.,0
9e47fc94-05de-46d0-8f62-44e876d2ba93,dudule14,False,2021-09-24,12:30:28.000Z,sans intérêt les 2 vont faire 5 % en 2022,0
7ab53cf5-0030-490c-9572-3b95b978e26d,Cyprinis,False,2021-09-24,12:29:23.000Z,"Je ne suis ni melenchoniste ni zemmouriste. Néanmoins j'ai apprécié ce débat parfois houleux voire hargneux de ces 2 là. Intéressant et parfois savoureux, j'ai parfois eu l'impression d'être au spectacle. Mélenchon m'est apparu un peu vieilli et avec de tps à autre une difficulté à se concentrer",0
83e9ae54-de99-4313-8e21-4ddab82c6cae,Mouais59,False,2021-09-24,12:29:08.000Z,"Entre un castriste et un pétainiste, match nul&nbsp;? Ben oui, nul, complètement nul&nbsp;!",0
67aa4e4a-7fc2-4dbe-8b71-d64ffaba0697,garrincha,False,2021-09-24,13:09:51.000Z,"Quand je lis les commentaires des Marxistes LR, PS et LREM du figaro, je me dis que la campagne que va être longue et que les slogans et formules de tous poils, vont fuser, afin qu'ils préservent leurs idéologie gauchiste.",0
b3e547ea-bc78-404f-baae-97b314dfa975,Lou Clapas,False,2021-09-24,13:08:14.000Z,Débat nul de bout en bout.,0
153bd9b5-40a3-4a65-87b3-187e6e6f76e2,Psychelau,False,2021-09-24,13:01:35.000Z,Zemmour sur l environnement.... le vide...,0
945ee988-1b90-4dca-8bb6-88c3db19a7ea,Arcusgi,True,2021-09-24,12:59:21.000Z,"Les musulmans en France doivent être français, républicain et enfin musulman. La religion doit rester dans la sphère privée, être discrète et ne pas se mêler des affaires de la Cité. Le rejet intervient quand on constate qu'une majorité de jeunes musulmans placent la charia avant les lois de la République, qu'ils combattent ses symboles et qu'ils créent leur propres domaines indépendant de la Nation. C'est d'abord aux français musulmans de contrôler leurs extrêmes.",0
439d7cbc-4baa-4f50-bee8-b3a2b84c16af,—Corsu77–,True,2021-09-24,12:59:14.000Z,"Monsieur Zemmour dit vrai sur beaucoup de points. Néanmoins, dans notre France actuelle toutes les vérités ne sont pas bonnes à dire. Vous le savez sans doute mais vous allez passer pour un raciste.",0
3bd0e269-2926-4e1f-9218-c460faafb9ca,ca18,True,2021-09-24,12:57:42.000Z,"Allons au bout de la logique concernant la notion de racisme (définition - rappel&nbsp;: cela qualifie l'atteinte aux personnes en fonction de leur race/ethnie, de leur origine, de leurs croyances...) Vu ce qu'il est écrit dans certaines sourates sur les juifs et les chrétiens, il serait donc judicieux de considérer aussi le Coran comme tombant sous le coup de la loi. C'est parfaitement factuel.",0
40de51e1-d7e3-414b-935f-c2ac14b84ee2,dalma,False,2021-09-24,12:50:11.000Z,"Je ne dirais même pas que Mélenchon est dépassé car peu de gens ont vraiment envie ne serait-ce que de le rejoindre&nbsp;! Son passé, ses compromissions - toujours d'actualité - avec les plus grands criminels de l'Histoire, les communistes, ne donnent vraiment pas envie de le côtoyer ; perdu dans ses papiers, sans cesse en train d'écrire de peur d'oublier ce qu'il a à dire&nbsp;! De l'autre côté, Zemmour, impérial, jamais pris en défaut, son bureau pas encombré de feuilles et de notes dont il n'a pas besoin, ayant tout dans la tête, à l'aise sur tous les sujets, a survolé le débat.",0
3f38e0bc-dc41-4541-a10e-5404458ba356,Psychelau,False,2021-09-24,12:49:13.000Z,Zemmour n a rien a dire sur l environnement...,0
ff838789-e3bf-43be-9487-38dc4d81e5c4,trollhébus,False,2021-09-24,12:47:55.000Z,"Les harkis et leurs descendants sont pour leur immense majorité musulmans et portent des prénoms de l'islam, qu'en disent zemmour et ses soutiens?",0
758beda4-1a8b-4c65-865f-f556060fbe61,,False,2021-09-24,12:47:24.000Z,"Alcide KORPANOFF a trouvé le passage fort amusant quand MELENCHON l'islamo-gauchiste a perdu son stylo qu'il utilisait sur ses bouts de papier comme un laborieux qu'il est, ce face au brillant intellectuel écrivain et essayiste qui n'avait aucun papier devant lui .",0
31e29e37-314e-408b-ad5f-2fdb530a241a,,False,2021-09-24,13:44:14.000Z,Finalement Zemmour n’est pas aussi moche que ça&nbsp;?,0
5db6f8d3-f481-4976-907a-64e6565db12d,Réalismic,False,2021-09-24,13:44:07.000Z,Ca c'est des candidats à la présidentielle qui s'y vont avec des sous marine...,0
42badc47-e7f9-47b2-b867-32134f6f638c,,False,2021-09-24,13:43:01.000Z,Le maréchal n’aurait jamais accepté de fréquenter une ashkénaze&nbsp;! Vive la France&nbsp;! Non à Macron non à Rothschild!,0
eedc44fa-859e-4b2e-8873-44006d9297b4,MICHEL DUBOIS 33,True,2021-09-24,13:42:52.000Z,"Suite...<br>Vous avez l'air sympa vous, me dit il c'est pas comme les autres qui nous regardent en chien de faïence, vous ne devez pas être d'ici; en fait, je réponds, je viens de province en déplacement pro. Il enchaîne,"" nous, nous sommes algériens, on vit ici pour le business, vous avez été chez nous, maintenant tout çà c'est fini&nbsp;!! C'est à notre tour et maintenant ici c'est chez nous, vous allez dégager&nbsp;!""<br>Ah bon lui dit je et pourquoi&nbsp;? parce qu'on va être les Maîtres&nbsp;!!<br>Le train arrivait en gare d'Enghien ville bourgeoise avec le 1er Casino européen en CA, sur l'esplanade devant le lac, les bancs étaient occupés par des familles d'origine étrangère en majorité, les femmes plutôt voilées... à deux pas, la ville d'Epinay sur Seine, quelques centaines de mètres, les quartiers HLM tous proches, ne tentez pas de vous promener à pied sans objet car vous ne serez pas les bienvenus...on vous le fera savoir, ""c'est une zone de Business...""<br>A bon entendeur... Salut, essayez, rien ne vaut l'expérimentation, peut-être alors comprendrez vous ce que dit E.Zemmour&nbsp;! Possible&nbsp;!! ou alors vous leur ferez le plaidoyer alla J.L.Mélenchon, ils seront tout ouïe et d'emblé acquis à votre cause, j'en suis persuadé ... pour vous&nbsp;!",0
b28cf899-278a-4d89-a4aa-0add6fd539d4,Tellmemore,False,2021-09-24,13:41:18.000Z,"Vu le nombre de commentaires, il y a de l'intérêt ... On sort des discours des politiques, bien policés, pour des approches bien ancrées dans le réel. Ouf, on respire à nouveau&nbsp;!",0
4e284a20-148c-4935-8c3a-895680a2fe61,Pragmatique,False,2021-09-24,13:41:02.000Z,"En résumé, Mélenchon veut détruire la France et les français, tandis que Zemmour veut sauver la France et les français. Mélenchon est l'un des pires exemples de ce qui existe en politique&nbsp;!",0
94eb0b32-d334-44ba-8162-79ebe3c61e23,François Frane,False,2021-09-24,13:39:38.000Z,Zemmour ment. La policière avait reçue des coups de couteau.,0
ece16e8f-c31b-415e-932a-bfa33a295dbc,Pragmatique,False,2021-09-24,13:37:41.000Z,"En résumé, Mélenchon veut détruire la France et les français, tandis que Zemmour veut sauver la France et les français. Mélenchon est parmi ce qui se fait de pire en politique&nbsp;!",0
0bc42cf6-ec08-46f2-9081-c19764d2ddcc,PetitVoyagueur,True,2021-09-24,13:35:29.000Z,"Vive l Islam, vive l immigration, vive tout. Non à meluche. Non à desamour",0
819701b9-57af-4bdd-bfb8-b2a5bed36c2a,angal,True,2021-09-24,13:32:25.000Z,"comment deux descendants de migrants peuvent-ils dire ce qu'est l'identité française avec certitude, chacun son mirage en fonction de ses obsessions",0
4ab2da34-0ef6-4665-a088-07bc5aba50a5,ciubot,False,2021-09-24,13:30:54.000Z,"Melench a pu développer brillamment tous ses fantasmes: créolisation,apocalypse écologique,misère généralisée,C est le privilège des utopistes.En face, Z a paru terne, terne comme le réel.",0
