"item","description","series","facility","status","avail_for_sale","list_price","net_price","disc_price","product_style","product_type","catalog_description","catalog_material","finish_code","finish","item_height","item_width","item_length","item_depth","item_diameter","item_extension","package_height","package_width","package_length","weight","freight_only","not_ul_approved","energy_star","energy_saving","es_lamp_included","dark_sky","ul_type","amps","fan_watts","rpm","motor_size","motor_poles","motor_warranty","motor_lead_wire","motor_pull_switch_type","motor_reverse_switch_type","number_of_blades","sweep","blade_side_a_color","blade_side_b_color","arm_pitch","downrod_length1","downrod_length2","overall_fan_height","ceiling_to_lower_edge_of_blade","canopy_height","fan_housing_width","bulb_type","number_of_lights","light_watts","socket","diffuser_type","diffuser_material","diffuser_panels","shade_pattern","shade_color","diffuser_shape","multi_piece_count","multi_piece_height","multi_piece_width","multi_piece_length","multi_piece_depth","multi_piece_diameter","multi_piece_extension","phase_out","vendor_origin","master_pack","inner_pack","cartons_per_item","carb_required","lacey_required","fws_required","fda_required","carb_compliant","map_price","UPC"
"894-4-69","4LT ENTRY - TXB          ","","QRW","Active",40,298.50,99.50,99.50,"Transitional","Entry","","","TXB","Textured Black ",21.00,23.00,.00,.00,.00,.00,22.25,16.25,23.75,11.60,"N","N","N","N","N","N","Dry","","","","","","",,"","",,"","","",,,,,,,,"","4","60","Candelabra","","",0,"","","",0,,,,,,,"N","China",1,0,1,"N         ","N         ","N         ","N         ","N         ",199.00,"190808120021"
"894-4-80","4LT ENTRY - AGB","","QRW","Active",71,298.50,99.50,99.50,"Transitional","Entry","","","AGB","Aged Brass ",21.00,23.00,.00,.00,.00,.00,22.25,16.25,23.75,11.00,"N","N","N","N","N","N","","","","","","","",,"","",,"","","",,,,,,,,"","4","60","Candelabra","","",0,"","","",0,,,,,,,"N","China",1,0,1,"N         ","N         ","N         ","N         ","N         ",199.00,"190808120052"
"9-24-6","LED UCL 24"" POWER CORD-WH","","QRW","Active",229,14.25,4.75,4.75,"Transitional","Under Cabinet","","","WH","White ",.00,.00,24.00,.00,.00,.00,.00,.00,.00,.17,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"","","","","","",0,"","","",0,,,,,,,"N","Vietnam",100,1,1,"","","","","N         ",9.50,"190808051615"
"9-72-15","LED UCL 72"" POWER CORD-BK","","QRW","Active",275,24.60,8.20,8.20,"Traditional","Under Cabinet","","","AB","Antique Brass Black",.00,.00,72.00,.00,.00,.00,.00,.00,.00,.37,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"","","","","","",0,"","","",0,,,,,,,"N","Vietnam",100,1,1,"N         ","N         ","N         ","N         ","N         ",16.40,"190808051622"
"9-72-6","LED UCL 72"" POWER CORD-WH","","QRW","Active",19,24.60,8.20,8.20,"Traditional","Under Cabinet","","","WH","White ",.00,.00,72.00,.00,.00,.00,.00,.00,.00,.34,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"","","","","","",0,"","","",0,,,,,,,"N","Vietnam",100,1,1,"","","","","N         ",16.40,"190808051639"
"9-905-4","RECESS ADAPT 905-6-xx","","QRW","Active",567,9.15,3.05,3.05,"Transitional","Lighting Accessory","","","AB","Antique Brass n/a",.00,.00,.00,.00,.00,.00,.00,.00,.00,.10,"N","N","N","N","N","N","","","","","","","",,"","",,"","","",,,,,,,,"","","","","","",0,"","","",0,,,,,,,"N","Vietnam",100,1,1,"","","","","N         ",6.10,"190808079282"
"9-905-6","RECESS ADAPT 905-7-xx","","QRW","Active",265,9.15,3.05,3.05,"Transitional","Lighting Accessory","","","AB","Antique Brass n/a",.00,.00,.00,.00,.00,.00,.00,.00,.00,.10,"N","N","N","N","N","N","","","","","","","",,"","",,"","","",,,,,,,,"","","","","","",0,"","","",0,,,,,,,"N","Vietnam",100,1,1,"N         ","N         ","N         ","N         ","N         ",6.10,"190808079299"
"900-12-6","LED 15w ROUND ACRYLIC -WH","","QRW","Active",102,99.00,33.00,33.00,"Transitional","Ceiling Mount","","","WH","White ",3.75,11.50,.00,.00,.00,.00,13.00,4.75,13.00,2.40,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"LED","1","15","Array","","",0,"","","",0,,,,,,,"N","Vietnam",10,1,1,"","","","","N         ",66.00,"190808052094"
"900-14-6","LED 23w ROUND ACRYLIC -WH","","QRW","Active",445,134.25,44.75,44.75,"Transitional","Ceiling Mount","","","WH","White ",4.00,13.75,.00,.00,.00,.00,15.50,5.00,15.00,3.30,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"LED","1","23","Array","","Acrylic",0,"","White","",0,,,,,,,"N","Vietnam",6,1,1,"N         ","N         ","N         ","N         ","N         ",89.50,"190808052551"
"900-16-6","LED 34w ROUND ACRYLIC -WH","","QRW","Active",164,178.50,59.50,59.50,"Transitional","Ceiling Mount","","","WH","White ",4.25,16.25,.00,.00,.00,.00,17.75,5.25,17.75,4.30,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"LED","1","34","Array","","Acrylic",0,"","White","",0,,,,,,,"N","Vietnam",6,1,1,"N         ","N         ","N         ","N         ","N         ",119.00,"190808052568"
"9004-7-8","24pk FLAT LED WET CMT -SW","","QRW","Active",401,792.00,264.00,264.00,"Transitional","Ceiling Mount","","","SW","Studio White ",1.00,7.50,.00,.00,.00,.00,8.50,17.75,23.25,21.40,"N","N","N","N","N","N","Wet","","","","","","",,"","",,"","","",,,,,,,,"LED","1","15","Array","","Acrylic",0,"","White","",24,,,,,,,"N","Vietnam",1,0,1,"N         ","N         ","N         ","N         ","N         ",528.00,"190808154460"
"8807-5-86","MONUMENT 5LT ENTRY - OB","Monument","QRW","Active",12,781.50,260.50,260.50,"Transitional","Entry","","","OB","Oiled Bronze ",26.50,18.00,.00,.00,.00,.00,28.50,20.00,20.00,14.40,"N","N","N","N","N","N","Dry","","","","","","",,"","",,"","","",,,,,,,,"","5","60","Candelabra","","",0,"","","",0,,,,,,,"Y","China",1,0,1,"N         ","N         ","N         ","N         ","N         ",521.00,"190808119452"
"8807-6-69","MONUMENT 6LT ENTRY - TXB ","Monument","QRW","Active",39,1068.00,356.00,356.00,"Transitional","Entry","","","TXB","Textured Black ",31.00,21.00,.00,.00,.00,.00,33.00,23.00,23.00,18.80,"N","N","N","N","N","N","Dry","","","","","","",,"","",,"","","",,,,,,,,"","6","60","Candelabra","","",0,"","","",0,,,,,,,"N","China",1,0,1,"N         ","N         ","N         ","N         ","N         ",712.00,"190808117687"
"8807-6-74","MONUMENT 6LT ENTRY - GL","Monument","QRW","Active",5,1108.50,369.50,369.50,"Transitional","Entry","","","GL","Gold Leaf ",31.00,21.00,.00,.00,.00,.00,33.00,23.00,23.00,18.00,"N","N","N","N","N","N","Dry","","","","","","",,"","",,"","","",,,,,,,,"","6","60","Candelabra","","",0,"","","",0,,,,,,,"N","China",1,0,1,"N         ","N         ","N         ","N         ","N         ",739.00,"190808117328"
"8807-6-86","MONUMENT 6LT ENTRY - OB","Monument","QRW","Obsolete",1,912.00,304.00,152.00,"Transitional","Entry","","","OB","Oiled Bronze ",31.00,21.00,.00,.00,.00,.00,33.00,23.00,23.00,17.60,"N","N","N","N","N","N","Dry","","","","","","",,"","",,"","","",,,,,,,,"","6","60","Candelabra","","",0,"","","",0,,,,,,,"N","China",1,0,1,"N         ","N         ","N         ","N         ","N         ",.00,"190808119476"
"8819-65","GENIE & BALL PEND - STN","","QRW","Obsolete",38,287.25,95.75,47.88,"Modern and Contemporary","Pendant","","","STN","Satin Nickel w/ Smoke Ombre",14.38,11.13,.00,.00,.00,.00,13.00,12.75,23.75,6.20,"N","N","N","N","N","N","Dry","","","","","","",,"","",,"","","",,,,,,,,"","1","60","Medium","","",0,"","","",0,,,,,,,"N","China",1,0,1,"","","","","N         ",.00,"190808118219"
"9510-06","5"" ADJUSTABLE EYEBALL-WH","","QRW","Obsolete",195,31.50,10.50,2.62,"Transitional","Recessed","","","WH","White ",.50,5.00,.00,,.00,.00,.00,.00,.00,1.00,"N","N","N","N","N","N","Damp","","","","","","",,"","",0,"0                               ","                                ","                                ",.00,,,,,,,"PAR 20/PAR 16","1","50","Medium","","",0,"","","",0,,,,,,,"N","China",72,6,1,"N         ","N         ","N         ","N         ","N         ",.00,"190808051431"
"95208-1-6","8"" 1X20W XENON UCL - WH","","QRW","Obsolete",362,46.50,15.50,3.87,"Transitional","Under Cabinet","","","WH","White ",1.25,3.50,8.00,.00,.00,.00,1.75,4.00,8.75,1.00,"N","N","N","Y","N","N","Dry","","","","","","",,"","",,"","","",,,,,,,,"G8 xenon","1","20","Bi-Pin","","Glass",0,"","","",0,,,,,,,"N","China",4,0,1,"N         ","N         ","N         ","N         ","N         ",.00,"190808051448"
"95208-1-86","8"" 1X20W XENON UCL - OB","","QRW","Obsolete",46,52.50,17.50,4.37,"All","Under Cabinet","","","OB","Oiled Bronze ",1.25,3.50,8.00,.00,.00,.00,3.75,8.75,1.75,1.05,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"G8 xenon","1","20","Bi-Pin","","Glass",0,"","","",0,,,,,,,"N","China",4,1,0,"N         ","N         ","N         ","N         ","N         ",.00,"190808050762"
"93309-6","LED UCL 9"" 4w - WH       ","","QRW","Active",130,66.75,22.25,22.25,"Transitional","Under Cabinet","","","WH","White ",1.13,3.75,9.00,.00,.00,.00,9.75,1.75,4.25,1.00,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"LED","1","4","Array","","",0,"","","",0,,,,,,,"N","Vietnam",24,1,1,"N         ","N         ","N         ","N         ","N         ",44.50,"190808051417"
"825-65","10"" CLEAR ICE PEND - STN","","QRW","Active",546,183.00,61.00,61.00,"Transitional","Pendant","","","STN","Satin Nickel ",14.00,5.25,.00,.00,.00,.00,9.00,8.75,16.50,6.60,"N","N","N","N","N","N","Dry","","","","","","",,"","",,"","","",,,,,,,,"","1","100","Medium","","Glass",0,"","","",0,,,,,,,"Y","China",2,1,1,"N         ","N         ","N         ","N         ","N         ",122.00,"190808051875"
"83-12-0880","12"" SPHERE PEND - SW/AGB","","QRW","Active",7,501.00,167.00,167.00,"Soft Contemporary","Pendant","","","SW","Studio White w/ Aged Brass",12.50,12.75,.00,.00,.00,.00,17.00,16.00,15.50,9.00,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"","1","60","Medium","","Glass",0,"","Clear","",0,,,,,,,"N","China",1,0,1,"","","","","N         ",334.00,"190808135025"
"83-12-3280","12"" SPHERE PEND - BLU/AGB","","QRW","Active",59,501.00,167.00,167.00,"Soft Contemporary","Pendant","","","BL","Blue w/ Aged Brass",12.50,12.75,.00,.00,.00,.00,17.00,16.00,15.50,9.00,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"","1","60","Medium","","Glass",0,"","Clear","",0,,,,,,,"N","China",1,0,1,"N         ","N         ","N         ","N         ","N         ",334.00,"190808135049"
"83-12-6980","12"" SPHERE PEND -TXB/AGB ","","QRW","Active",106,501.00,167.00,167.00,"Soft Contemporary","Pendant","","","TXB","Textured Black w/ Aged Brass",12.50,12.75,.00,.00,.00,.00,15.50,17.00,16.00,9.00,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"A Type","1","60","Medium","","Glass",0,"","Clear","",0,,,,,,,"N","China",1,0,1,"N         ","N         ","N         ","N         ","N         ",334.00,"190808135032"
"83-14-0880","14"" SPHERE PEND - SW/AGB","","QRW","Active",66,648.00,216.00,216.00,"Soft Contemporary","Pendant","","","SW","Studio White w/ Aged Brass",14.50,14.75,.00,.00,.00,.00,17.00,17.50,17.50,10.20,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"","1","60","Medium","","Glass",0,"","Clear","",0,,,,,,,"N","China",1,0,1,"N         ","N         ","N         ","N         ","N         ",432.00,"190808135056"
"907","4"" IC NEW CONSTR FXTR","","QRW","Obsolete",6,76.50,25.50,6.37,"","Recessed","","","","",6.00,6.00,8.00,,.00,5.25,.00,.00,.00,2.40,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"PAR 20","1","50","Medium","","",0,"","","",0,,,,,,,"N","China",6,1,1,"N         ","N         ","N         ","N         ","N         ",.00,"190808052322"
"910-23-6","LED 23"" 11w VANITY - WH","","QRW","Obsolete",3,132.00,44.00,22.00,"Transitional","Vanity","","","WH","White ",4.75,22.75,.00,.00,.00,3.13,10.00,15.25,25.00,2.00,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"LED","1","11","Array","","",0,"","","",0,,,,,,,"N","China",8,1,1,"","","","","N         ",.00,"190808109644"
"910-23-65","LED 23"" 11w VANITY - STN","","QRW","Active",200,159.75,53.25,53.25,"Transitional","Vanity","","","STN","Satin Nickel ",4.75,22.75,.00,.00,.00,3.13,4.75,3.75,23.25,2.00,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"LED","1","11","Array","","",0,"","","",0,,,,,,,"N","China",8,1,1,"N         ","N         ","N         ","N         ","N         ",106.50,"190808109675"
"910-23-86","LED 23"" 11w VANITY - OB","","QRW","Obsolete",30,144.75,48.25,24.13,"Transitional","Vanity","","","OB","Oiled Bronze ",4.75,22.75,.00,.00,.00,3.13,10.00,15.25,25.00,2.00,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"LED","1","11","Array","","",0,"","","",0,,,,,,,"N","China",8,1,1,"N         ","N         ","N         ","N         ","N         ",.00,"190808109682"
"910-35-6","LED 35"" 18w VANITY - WH","","QRW","Active",19,153.00,51.00,51.00,"Modern and Contemporary","Vanity","","","WH","White ",4.75,34.75,.00,.00,.00,3.13,4.75,3.75,35.25,3.00,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"LED","1","18","Array","","",0,"","","",0,,,,,,,"Y","China",8,1,1,"N         ","N         ","N         ","N         ","N         ",102.00,"190808109651"
"910-35-65","LED 35"" 18w VANITY - STN","","QRW","Active",377,197.25,65.75,65.75,"Modern and Contemporary","Vanity","","","STN","Satin Nickel ",4.75,34.75,.00,.00,.00,3.13,4.75,3.75,35.25,3.00,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"LED","1","18","Array","","",0,"","","",0,,,,,,,"N","China",8,1,1,"N         ","N         ","N         ","N         ","N         ",131.50,"190808109699"
"910-35-86","LED 35"" 18w VANITY - OB","","QRW","Active",172,179.25,59.75,59.75,"Modern and Contemporary","Vanity","","","OB","Oiled Bronze ",4.75,34.75,.00,.00,.00,3.13,4.75,3.75,35.25,3.00,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"LED","1","18","Array","","",0,"","","",0,,,,,,,"Y","China",8,1,1,"N         ","N         ","N         ","N         ","N         ",119.50,"190808109705"
"91525-4","52"" 5BL PINNACLE FAN - AB","Pinnacle","QRW","Active",142,389.25,129.75,129.75,"Transitional","Ceiling Fan","","","AB","Antique Brass ",.00,.00,.00,,.00,.00,10.00,14.50,25.00,24.95,"N","N","N","Y","N","N","Dry",".65/.44/.23","83/36/10","162/108/64","188x22","16","Limited Lifetime",80.00,"Hi/Med/Low/Off","Slide",5,"52                              ","Medium Oak                      ","Rosewood                        ",16.00,4.00,6.00,12.60,11.02,.00,12.99,"","","","","","",,"","","",0,,,,,,,"N","China",1,0,1,"Y         ","N         ","N         ","N         ","N         ",259.50,"190808050700"
"838-1414","4.75"" MIRROR LASER PND-CH","","QRW","Active",56,222.00,74.00,74.00,"Transitional","Pendant","","","CH","Chrome w/ Mirror Glass",14.00,4.75,.00,.00,.00,.00,7.75,20.25,8.00,4.20,"N","N","N","N","N","N","Dry","","","","","","",,"","",,"","","",,,,,,,,"","1","60","Medium","","Glass",0,"","Silver","",0,,,,,,,"N","China",4,1,1,"N         ","N         ","N         ","N         ","N         ",148.00,"190808053572"
"888-4-64","HAMMOND 4LT PEND - CLN","Hammond","QRW","Active",67,552.00,184.00,184.00,"","Pendant","","","CLN","Classic Nickel ",18.25,19.00,.00,.00,.00,.00,20.00,22.00,22.00,13.40,"N","N","N","N","N","N","Dry","","","","","","",,"","",,"","","",,,,,,,,"","4","60","Candelabra","","",0,"","","",0,,,,,,,"Y","China",1,0,1,"N         ","N         ","N         ","N         ","N         ",368.00,"190808119292"
"894-4-86","4LT ENTRY - OB","","QRW","Active",0,298.50,99.50,99.50,"Transitional","Entry","","","OB","Oiled Bronze ",21.00,23.00,.00,.00,.00,.00,22.25,16.25,23.75,11.00,"N","N","N","N","N","N","Dry","","","","","","",,"","",,"","","",,,,,,,,"","4","60","Candelabra","","",0,"","","",0,,,,,,,"N","China",1,0,1,"N         ","N         ","N         ","N         ","N         ",199.00,"190808120038"
"96608-86","PROXIMA 60"" 8BLD FAN - OB","Proxima","QRW","Active",0,1212.00,404.00,404.00,"Transitional","Ceiling Fan","","","OB","Oiled Bronze ",13.00,9.75,35.75,.00,.00,.00,11.00,16.00,29.50,27.00,"N","N","N","N","N","N","Dry",".44/.29/.20/.14/.09/.06","31/20/13/9/6/4","153/128/110/91/72/53","DC-165M","6","Ltd Lifetime",80.00,"","",8,"60                              ","Oiled Bronze                    ","Oiled Bronze                    ",14.00,4.00,6.00,18.00,14.50,.00,.00,"","","","","","",,"","","",0,,,,,,,"N","China",1,0,1,"N         ","N         ","N         ","N         ","N         ",808.00,"190808051653"
"846-65","CLR FILAMENT PEND 6"" -STN","","QRW","Active",20,195.00,65.00,65.00,"Transitional","Pendant","","","STN","Satin Nickel ",10.75,5.75,.00,.00,.00,.00,8.00,8.00,20.00,25.00,"N","N","N","N","N","N","Dry","","","","","","",,"","",,"","","",,,,,,,,"","1","60","Medium","","Glass",0,"","Clear","",0,,,,,,,"N","China",6,1,1,"N         ","N         ","N         ","N         ","N         ",130.00,"190808086709"
"846-80","CLR FILAMENT PEND 6"" -AGB","","QRW","Active",0,195.00,65.00,65.00,"Transitional","Pendant","","","AGB","Aged Brass ",10.75,5.75,.00,.00,.00,.00,8.00,8.00,21.00,4.00,"N","N","N","N","N","N","Dry","","","","","","",,"","",,"","","",,,,,,,,"","1","60","Medium","","Glass",0,"","Clear","",0,,,,,,,"N","China",6,1,1,"N         ","N         ","N         ","N         ","N         ",130.00,"190808086716"
"847-65","CLR FILAMENT PEND 5"" -STN","","QRW","Obsolete",4,176.25,58.75,29.38,"Transitional","Pendant","","","STN","Satin Nickel ",12.75,5.00,.00,.00,.00,.00,7.00,8.00,24.00,6.00,"N","N","N","N","N","N","Dry","","","","","","",,"","",,"","","",,,,,,,,"","1","60","Medium","","Glass",0,"","Clear","",0,,,,,,,"N","China",6,1,1,"N         ","N         ","N         ","N         ","N         ",.00,"190808086730"
"856-5-91","CORDON 5LT LINEAR - PRG","Cordon","QRW","Active",17,1940.25,646.75,646.75,"Transitional","Pendant","","","PRG","Persian Gray ",15.50,15.00,40.00,.00,.00,.00,15.00,16.75,43.00,28.80,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"","5","100","Medium","","",0,"","","",0,,,,,,,"Y","China",1,0,1,"N         ","N         ","N         ","N         ","N         ",1293.50,"190808140692"
"855-6-91","CORDON 6LT DRUM - PRG","Cordon","QRW","Active",21,1515.75,505.25,505.25,"Transitional","Pendant","","","PRG","Persian Gray ",15.25,24.25,.00,.00,.00,.00,14.50,26.75,26.75,23.80,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"A Type","6","75","Medium","","",0,"","","",0,,,,,,,"Y","China",1,0,1,"N         ","N         ","N         ","N         ","N         ",1010.50,"190808140685"
"96728-65","PROXIMA 72"" 8BLD FAN -STN","Proxima","QRW","Active",75,1212.00,404.00,404.00,"Transitional","Ceiling Fan","","","STN","Satin Nickel ",.00,.00,.00,.00,.00,.00,16.00,40.50,11.00,29.00,"N","N","N","N","N","N","Dry",".20/.14/.11/.09/.07/.05","33/19/12/7/4/3","84/73/63/53/43/33","DC-165L","6","Ltd Lifetime",80.00,"","",8,"72                              ","Satin Nickel                    ","Satin Nickel                    ",14.00,4.00,6.00,18.00,14.50,.00,.00,"","","","","","",,"","","",0,,,,,,,"N","China",1,0,1,"N         ","N         ","N         ","N         ","N         ",808.00,"190808051660"
"96728-69","PROXIMA 72"" 8BLD FAN -TXB","Proxima","QRW","Active",55,1318.50,439.50,439.50,"Transitional","Ceiling Fan","","","TXB","Textured Black ",13.00,9.75,34.75,.00,.00,.00,16.00,40.50,11.00,27.80,"N","N","N","N","N","N","Dry",".20/.14/.11/.09/.07/.05","33/19/12/7/4/3","84/73/63/53/43/33","DC-165L","6","Ltd Lifetime",80.00,"","",8,"72                              ","Matte Black                     ","Matte Black                     ",14.00,4.00,6.00,18.00,14.50,.00,.00,"","","","","","",,"","","",0,,,,,,,"N","China",1,0,1,"N         ","N         ","N         ","N         ","N         ",879.00,"190808118868"
"96728-86","PROXIMA 72"" 8BLD FAN - OB","Proxima","QRW","Active",164,1318.50,439.50,439.50,"Transitional","Ceiling Fan","","","OB","Oiled Bronze ",13.00,9.75,35.75,.00,.00,.00,16.00,40.50,11.00,28.00,"N","N","N","N","N","N","Dry",".20/.14/.11/.09/.07/.05","33/19/12/7/4/3","84/73/63/53/43/33","DC-165L","6","Ltd Lifetime",80.00,"","",8,"72                              ","Oiled Bronze                    ","Oiled Bronze                    ",14.00,4.00,6.00,18.00,14.50,.00,.00,"","","","","","",,"","","",0,,,,,,,"N","China",1,0,1,"N         ","N         ","N         ","N         ","N         ",879.00,"190808051684"
"9700-015","7"" STEPP BAFLE (R30) - BK","","QRW","Obsolete",218,22.50,7.50,1.87,"Transitional","Recessed","","","BK","Black ",.00,7.00,.00,,.00,.00,.00,.00,.00,.80,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"PAR","1","75","Medium","","",0,"","","",0,,,,,,,"N","China",72,12,1,"N         ","N         ","N         ","N         ","N         ",.00,"190808051691"
"9700-051","7"" STEP BAFFLE (R30)- BS","","QRW","Obsolete",61,45.00,15.00,3.75,"Transitional","Recessed","","","BS","Brushed Steel ",.00,7.00,.00,,.00,.00,8.75,8.75,14.50,.80,"N","N","N","N","N","N","Damp","","","","","","",,"","",0,"0                               ","                                ","                                ",.00,,,,,,,"PAR","1","75","Medium","","",0,"","","",0,,,,,,,"N","China",72,12,1,"N         ","N         ","N         ","N         ","N         ",.00,"190808051707"
"875-4-60","BASTILLE 4LT PEND - ASL","Bastille","QRW","Obsolete",30,1701.00,567.00,141.74,"Transitional","Pendant","","","ASL","Aged Silver Leaf ",14.00,29.00,.00,.00,.00,.00,19.00,32.75,32.75,23.80,"N","N","N","N","N","N","Dry","","","","","","",,"","",,"","","",,,,,,,,"","4","60","Medium","","",0,"","","",0,,,,,,,"N","China",1,0,1,"N         ","N         ","N         ","N         ","N         ",.00,"190808051455"
"875-6-60","BASTILLE 6LT PEND - ASL","Bastille","QRW","Obsolete",51,2395.50,798.50,199.62,"Transitional","Pendant","","","ASL","Aged Silver Leaf ",18.50,34.00,.00,.00,.00,.00,22.25,39.00,39.00,31.00,"N","N","N","N","N","N","Dry","","","","","","",,"","",,"","","",,,,,,,,"","6","60","Medium","","",0,"","","",0,,,,,,,"N","China",1,0,1,"N         ","N         ","N         ","N         ","N         ",.00,"190808051462"
"875-8-60","BASTILLE 8LT PEND - ASL","Bastille","QRW","Obsolete",55,3289.50,1096.50,274.11,"Transitional","Pendant","","","ASL","Aged Silver Leaf ",23.50,42.00,.00,.00,.00,.00,23.00,45.00,45.00,40.60,"Y","N","N","N","N","N","Dry","","","","","","",,"","",,"","","",,,,,,,,"","8","60","Medium","","",0,"","","",0,,,,,,,"N","China",1,0,1,"N         ","N         ","N         ","N         ","N         ",.00,"190808051479"
"882-165","1LT PND CLR/FRST/CLR -STN","","QRW","Active",1773,96.75,32.25,32.25,"Transitional","Pendant","","","STN","Satin Nickel Clear and White",9.25,5.00,.00,.00,.00,.00,12.50,7.50,7.75,3.40,"N","N","N","N","N","N","Dry","","","","","","",,"","",0,"0                               ","                                ","                                ",.00,,,,,,,"","1","60","Medium","","Glass",0,"","","",0,,,,,,,"N","China",6,1,1,"N         ","N         ","N         ","N         ","N         ",64.50,"190808052360"
"882-3765","CLR/CH STRIPE PEND - STN","","QRW","Active",452,151.50,50.50,50.50,"Transitional","Pendant","","","STN","Satin Nickel ",9.50,5.00,.00,.00,.00,.00,7.50,7.50,12.75,3.10,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"","1","60","Medium","","",0,"","","",0,,,,,,,"N","China",6,1,1,"N         ","N         ","N         ","N         ","N         ",101.00,"190808077059"
"882-65","1LT CLR/FROST PEND - STN ","","QRW","Active",407,96.75,32.25,32.25,"Transitional","Pendant","","","STN","Satin Nickel Clear and White",9.25,5.00,.00,,.00,.00,13.00,7.75,7.75,3.40,"N","N","N","N","N","N","Dry","","","","","","",,"","",0,"0                               ","                                ","                                ",.00,,,,,,,"","1","60","Medium","","Glass",0,"","","",0,,,,,,,"N","China",6,1,1,"N         ","N         ","N         ","N         ","N         ",64.50,"190808053046"
"859-12-65","COPELAND 12""/1LT PND -STN","Copeland","QRW","Obsolete",8,340.50,113.50,28.37,"Transitional","Pendant","","","STN","Satin Nickel ",11.00,12.00,.00,.00,.00,.00,15.75,14.00,14.00,6.40,"N","N","N","N","N","N","Dry","","","","","","",,"","",,"","","",,,,,,,,"","1","100","Medium","","",0,"","","",0,,,,,,,"N","China",1,0,1,"N         ","N         ","N         ","N         ","N         ",.00,"190808052209"
"816-44","COVENTRY 1LT MED PND - TS","Coventry","QRW","Obsolete",7,258.00,86.00,21.50,"Transitional","Pendant","","","TS","Toasted Sienna ",22.00,10.75,.00,,.00,.00,16.50,13.50,13.50,11.65,"N","N","N","N","N","N","Dry","","","","","","",,"","",0,"0                               ","Combo1                          ","Combo1                          ",.00,,,,,,,"","1","100","Medium","","Glass",0,"","Amber scavo","",0,,,,,,,"N","China",1,0,1,"N         ","N         ","N         ","N         ","N         ",.00,"190808051776"
"818-1-80","FINURA 18"" PEND - AGB","Finura","QRW","Active",32,516.00,172.00,172.00,"Soft Contemporary","Pendant","","","AGB","Aged Brass ",18.00,8.00,.00,.00,.00,.00,19.50,9.00,9.00,9.80,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"A Type","1","100","Medium","","",0,"","","",0,,,,,,,"N","China",1,0,1,"N         ","N         ","N         ","N         ","N         ",344.00,"190808136350"
"8189-4-69","ALPINE 4LT PEND - TXB    ","Alpine","QRW","Active",66,718.50,239.50,239.50,"Modern Farmhouse","Pendant","","","TXB","Textured Black w/ Driftwood finish",15.50,18.00,.00,.00,.00,.00,17.50,16.00,16.00,12.40,"N","N","N","N","N","N","Dry","","","","","","",,"","",,"","","",,,,,,,,"","4","60","Candelabra","","",0,"","","",0,,,,,,,"N","China",1,0,1,"","","","","N         ",479.00,"190808118998"
"8189-8-69","ALPINE 8LT PEND - TXB    ","Alpine","QRW","Active",31,996.00,332.00,332.00,"Modern Farmhouse","Pendant","","","TXB","Textured Black w/ Driftwood finish",18.75,26.00,.00,.00,.00,.00,18.75,21.75,21.75,19.80,"N","N","N","N","N","N","Dry","","","","","","",,"","",,"","","",,,,,,,,"","8","60","Candelabra","","",0,"","","",0,,,,,,,"N","China",1,0,1,"","","","","N         ",664.00,"190808118981"
