"item","description","series","facility","status","avail_for_sale","list_price","net_price","disc_price","product_style","product_type","catalog_description","catalog_material","finish_code","finish","item_height","item_width","item_length","item_depth","item_diameter","item_extension","package_height","package_width","package_length","weight","freight_only","not_ul_approved","energy_star","energy_saving","es_lamp_included","dark_sky","ul_type","amps","fan_watts","rpm","motor_size","motor_poles","motor_warranty","motor_lead_wire","motor_pull_switch_type","motor_reverse_switch_type","number_of_blades","sweep","blade_side_a_color","blade_side_b_color","arm_pitch","downrod_length1","downrod_length2","overall_fan_height","ceiling_to_lower_edge_of_blade","canopy_height","fan_housing_width","bulb_type","number_of_lights","light_watts","socket","diffuser_type","diffuser_material","diffuser_panels","shade_pattern","shade_color","diffuser_shape","multi_piece_count","multi_piece_height","multi_piece_width","multi_piece_length","multi_piece_depth","multi_piece_diameter","multi_piece_extension","phase_out","vendor_origin","master_pack","inner_pack","cartons_per_item","carb_required","lacey_required","fws_required","fda_required","carb_compliant","map_price","UPC"
"3074-13-65","13"" FL/MT FROST MELON-SN","","QRW","Active",0,55.50,18.50,18.50,"Traditional","Ceiling Mount","","","STN","Satin Nickel ",6.25,13.50,.00,,.00,.00,6.75,14.00,14.00,5.00,"N","N","N","N","N","N","Damp","","","","","","",,"","",0,"0                               ","                                ","                                ",.00,,,,,,,"","2","75","Medium","Frost","Glass",0,"MELAN","WHITE","",0,,,,,,,"N","China",4,1,1,"N         ","N         ","N         ","N         ","N         ",37.00,"190808067784"
"3122-286","ROSSINGTON CLR/SD PND -OB","Rossington","QRW","Active",197,132.00,44.00,44.00,"Transitional","Pendant","","","OB","Oiled Bronze w/ Clear/Seeded",7.00,5.25,.00,.00,.00,.00,6.75,7.00,16.50,4.00,"N","N","N","N","N","N","Dry","","","","","","",,"","",,"","","",,,,,,,,"","1","100","Medium","","Glass",0,"","Clear seeded","",0,,,,,,,"N","China",1,0,1,"N         ","N         ","N         ","N         ","N         ",88.00,"190808127211"
"3132-21-80","ROVI 3LT CMNT - AGB","Rovi","QRW","Active",72,378.00,126.00,126.00,"Mid Century Modern","Ceiling Mount","","","AGB","Aged Brass ",10.50,21.00,.00,.00,.00,.00,10.00,17.00,17.00,5.00,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"","3","60","Candelabra","","Glass",0,"","Clear","",0,,,,,,,"N","China",1,0,1,"N         ","N         ","N         ","N         ","N         ",252.00,"190808150448"
"3152-69","GALVESTON 1LT PEND - NR","","QRW","Active",14,222.00,74.00,74.00,"Modern Farmhouse","Pendant","","","TXB","Textured Black ",7.50,10.50,.00,.00,.00,.00,12.25,9.25,19.25,7.00,"N","N","N","N","N","N","Dry","","","","","","",,"","",,"","","",,,,,,,,"","1","100","Medium","","",0,"","","",0,,,,,,,"Y","China",1,0,1,"","","","","N         ",148.00,"190808118172"
"3239-9-62","9"" CLR ACORN CMNT - PN","","QRW","Obsolete",73,174.00,58.00,14.50,"Transitional","Ceiling Mount","","","PN","Polished Nickel ",13.50,9.00,.00,.00,.00,.00,11.25,11.25,16.75,4.60,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"","1","60","Medium","","Glass",0,"","","",0,,,,,,,"N","China",1,0,1,"N         ","N         ","N         ","N         ","N         ",.00,"190808103642"
"327-69","LAZO 1LT PENDANT - TXB   ","Lazo","QRW","Active",92,170.25,56.75,56.75,"","Pendant","","","TXB","Textured Black ",8.25,5.25,.00,.00,.00,.00,8.50,8.00,18.00,4.80,"N","N","N","N","N","N","Dry","","","","","","",,"","",,"","","",,,,,,,,"","1","100","Medium","","",0,"","","",0,,,,,,,"N","China",1,0,1,"","","","","N         ",113.50,"190808117403"
"3391-80","METAL CONE PEND - AGB","","QRW","Active",8,286.50,95.50,95.50,"Mid Century Modern","Pendant","","","AGB","Aged Brass ",11.75,10.00,.00,.00,.00,.00,9.00,12.00,16.50,5.60,"N","N","N","N","N","N","Dry","","","","","","",,"","",,"","","",,,,,,,,"","1","100","Medium","","",0,"","","",0,,,,,,,"Y","China",1,0,1,"N         ","N         ","N         ","N         ","N         ",191.00,"190808125408"
"3505-9-62","9"" CONTEMPO FL/MNT - PN","","QRW","Active",29,60.75,20.25,20.25,"Transitional","Ceiling Mount","","","PN","Polished Nickel ",3.75,9.25,.00,.00,.00,.00,9.50,5.75,9.50,2.00,"N","N","N","N","N","N","Damp","","","","","","",,"","",0,"0                               ","                                ","                                ",.00,,,,,,,"","1","60","Medium","","Glass",0,"","Satin opal","",0,,,,,,,"N","China",6,1,0,"N         ","N         ","N         ","N         ","N         ",40.50,"190808095206"
"3509-14-60","CELESTE 14"" CMNT - ASL","Celeste","QRW","Active",78,244.50,81.50,81.50,"Transitional","Ceiling Mount","","","ASL","Aged Silver Leaf ",5.50,14.00,.00,.00,.00,.00,16.00,16.00,8.00,7.00,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"","3","60","Medium","","Glass",0,"","Satin opal","",0,,,,,,,"N","China",4,1,1,"N         ","N         ","N         ","N         ","N         ",163.00,"190808077561"
"35525-86","52"" 5BL EMPRESS FAN - OB ","Empress","QRW","Active",82,564.00,188.00,188.00,"Traditional","Ceiling Fan","","","OB","Oiled Bronze ",.00,.00,.00,.00,.00,.00,12.00,14.00,20.00,23.00,"N","N","N","N","N","N","Dry",".65/.44/.23","75/33/9","154/102/57","188x15","16","Limited Lifetime",80.00,"Hi/Med/Lo/Off","Slide",5,"52                              ","Oiled Bronze                    ","Walnut                          ",14.00,4.00,6.00,14.37,13.11,.00,13.31,"","","","","","",,"","","",0,,,,,,,"N","China",1,0,1,"N         ","N         ","N         ","N         ","N         ",376.00,"190808045317"
"3811-65","RICHMOND MINI PEND - STN","Richmond","QRW","Active",79,130.50,43.50,43.50,"Transitional","Pendant","","","STN","Satin Nickel ",8.50,5.25,.00,.00,.00,.00,7.50,7.50,16.50,5.00,"N","N","N","N","N","N","Dry","","","","","","",,"","",,"","","",,,,,,,,"","1","100","Medium","","",0,"","Satin opal","",0,,,,,,,"N","China",1,0,1,"N         ","N         ","N         ","N         ","N         ",87.00,"190808084651"
"3842-86","DUBLIN 1LT PEND - OB","Dublin","QRW","Active",204,250.50,83.50,83.50,"Transitional","Pendant","","","OB","Oiled Bronze ",14.00,11.00,.00,.00,.00,.00,13.00,13.00,13.25,4.00,"N","N","N","N","N","N","Dry","","","","","","",,"","",,"","","",,,,,,,,"","1","100","Medium","","",0,"","","",0,,,,,,,"N","China",1,0,1,"N         ","N         ","N         ","N         ","N         ",167.00,"190808119353"
"3911-65","RICHMOND 1LT PEND - STN","Richmond","QRW","Active",190,168.00,56.00,56.00,"Transitional","Pendant","","","STN","Satin Nickel ",9.50,8.00,.00,.00,.00,.00,8.50,10.50,16.50,6.00,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"","1","100","Medium","","Glass",0,"","Satin opal","",0,,,,,,,"N","China",1,0,1,"N         ","N         ","N         ","N         ","N         ",112.00,"190808084699"
"4256524111","STN/WLNT TYPE 1-42 POINT ","","QRW","Active",444,23.85,7.95,7.95,"All","Fan Blades","","","","Satin Nickel / Walnut",.00,.00,.00,.00,.00,.00,.00,.00,.00,2.20,"N","N","N","N","N","N","","","","","","","",.00,"","",5,"42                              ","Satin Nickel                    ","Walnut                          ",.00,,,,,,,"","","","","","",,"","","",0,,,,,,,"N","China",16,1,1,"","","","","N         ",15.90,"190808146205"
